"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"18.08.2023","4,251","4,270","4,280","4,215","-0,78%"
"17.08.2023","4,284","4,252","4,328","4,252","0,60%"
"16.08.2023","4,258","4,211","4,280","4,170","0,94%"
"15.08.2023","4,219","4,199","4,274","4,166","0,42%"
"14.08.2023","4,201","4,172","4,215","4,146","1,03%"
"11.08.2023","4,158","4,123","4,178","4,080","1,23%"
"10.08.2023","4,107","4,009","4,113","3,957","2,27%"
"09.08.2023","4,016","4,012","4,044","3,988","-0,30%"
"08.08.2023","4,028","4,089","4,089","3,984","-1,67%"
"07.08.2023","4,097","4,050","4,123","4,046","1,36%"
"04.08.2023","4,042","4,179","4,206","4,038","-3,29%"
"03.08.2023","4,179","4,086","4,198","4,082","2,19%"
"02.08.2023","4,090","4,013","4,126","4,009","1,30%"
"01.08.2023","4,037","3,965","4,057","3,949","1,77%"
"31.07.2023","3,967","3,963","4,003","3,927","0,26%"
"28.07.2023","3,957","4,014","4,043","3,939","-1,14%"
"27.07.2023","4,002","3,877","4,024","3,839","3,34%"
"26.07.2023","3,873","3,898","3,904","3,847","-0,45%"
"25.07.2023","3,890","3,876","3,922","3,857","0,31%"
"24.07.2023","3,878","3,847","3,878","3,792","1,08%"
"21.07.2023","3,837","3,850","3,861","3,809","-0,50%"
"20.07.2023","3,856","3,754","3,874","3,746","2,88%"
"19.07.2023","3,748","3,789","3,797","3,727","-1,08%"
"18.07.2023","3,789","3,805","3,809","3,734","-0,51%"
"17.07.2023","3,809","3,815","3,836","3,772","-0,56%"
"14.07.2023","3,830","3,777","3,836","3,760","1,67%"
"13.07.2023","3,767","3,859","3,865","3,757","-2,43%"
"12.07.2023","3,861","3,962","3,970","3,844","-2,93%"
"11.07.2023","3,978","4,000","4,008","3,950","-0,55%"
"10.07.2023","4,000","4,062","4,092","3,986","-1,62%"
"07.07.2023","4,066","4,031","4,094","4,006","0,86%"
"06.07.2023","4,031","3,938","4,083","3,930","2,48%"
"05.07.2023","3,934","3,841","3,947","3,831","2,47%"
"04.07.2023","3,839","3,854","3,878","3,839","-0,51%"
"03.07.2023","3,858","3,845","3,868","3,778","0,46%"
"30.06.2023","3,841","3,838","3,892","3,803","-0,04%"
"29.06.2023","3,842","3,714","3,868","3,712","3,46%"
"28.06.2023","3,714","3,762","3,770","3,704","-1,54%"
"27.06.2023","3,772","3,719","3,776","3,692","1,31%"
"26.06.2023","3,723","3,721","3,737","3,679","-0,36%"
"23.06.2023","3,737","3,787","3,799","3,692","-1,58%"
"22.06.2023","3,797","3,727","3,810","3,711","1,88%"
"21.06.2023","3,727","3,732","3,791","3,711","0,21%"
"20.06.2023","3,719","3,824","3,826","3,701","-2,69%"
"19.06.2023","3,822","3,760","3,826","3,750","1,45%"
"16.06.2023","3,767","3,718","3,806","3,717","1,26%"
"15.06.2023","3,720","3,790","3,845","3,707","-1,84%"
"14.06.2023","3,790","3,821","3,851","3,771","-0,96%"
"13.06.2023","3,827","3,740","3,845","3,682","2,23%"
"12.06.2023","3,743","3,745","3,794","3,711","0,00%"
"09.06.2023","3,743","3,724","3,780","3,716","0,68%"
"08.06.2023","3,718","3,789","3,821","3,708","-1,99%"
"07.06.2023","3,793","3,668","3,801","3,656","3,15%"
"06.06.2023","3,677","3,685","3,735","3,654","-0,31%"
"05.06.2023","3,689","3,706","3,762","3,658","-0,26%"
"02.06.2023","3,698","3,606","3,700","3,599","2,71%"
"01.06.2023","3,601","3,639","3,689","3,570","-1,25%"
"31.05.2023","3,646","3,694","3,694","3,614","-1,29%"
"30.05.2023","3,694","3,765","3,769","3,681","-1,85%"
"29.05.2023","3,764","3,821","3,827","3,757","-1,44%"
"28.05.2023","3,819","3,817","3,845","3,809","0,24%"
"26.05.2023","3,810","3,817","3,859","3,777","-0,35%"
"25.05.2023","3,823","3,740","3,827","3,730","2,12%"
"24.05.2023","3,744","3,701","3,748","3,667","1,25%"
"23.05.2023","3,698","3,717","3,761","3,688","-0,57%"
"22.05.2023","3,719","3,669","3,728","3,642","0,99%"
"19.05.2023","3,682","3,649","3,720","3,619","0,84%"
"18.05.2023","3,651","3,562","3,659","3,547","2,23%"
"17.05.2023","3,572","3,547","3,589","3,515","0,85%"
"16.05.2023","3,541","3,507","3,573","3,457","0,97%"
"15.05.2023","3,507","3,464","3,511","3,457","1,30%"
"12.05.2023","3,463","3,382","3,470","3,369","2,26%"
"11.05.2023","3,386","3,436","3,444","3,345","-1,53%"
"10.05.2023","3,439","3,519","3,528","3,431","-2,37%"
"09.05.2023","3,522","3,515","3,532","3,479","0,43%"
"08.05.2023","3,507","3,448","3,520","3,422","2,10%"
"05.05.2023","3,435","3,386","3,465","3,379","1,73%"
"04.05.2023","3,377","3,403","3,411","3,296","0,39%"
"03.05.2023","3,364","3,431","3,441","3,341","-2,03%"
"02.05.2023","3,433","3,566","3,570","3,424","-3,83%"
"01.05.2023","3,570","3,450","3,608","3,448","3,98%"
"28.04.2023","3,433","3,522","3,551","3,422","-2,69%"
"27.04.2023","3,528","3,443","3,538","3,433","2,42%"
"26.04.2023","3,445","3,418","3,458","3,375","1,33%"
"25.04.2023","3,400","3,481","3,492","3,379","-2,75%"
"24.04.2023","3,496","3,572","3,572","3,492","-2,02%"
"21.04.2023","3,568","3,534","3,579","3,501","0,92%"
"20.04.2023","3,536","3,591","3,602","3,526","-1,54%"
"19.04.2023","3,591","3,589","3,639","3,578","0,37%"
"18.04.2023","3,578","3,600","3,608","3,549","-0,79%"
"17.04.2023","3,606","3,530","3,608","3,507","2,60%"
"14.04.2023","3,515","3,447","3,537","3,422","1,91%"
"13.04.2023","3,449","3,389","3,460","3,372","1,44%"
"12.04.2023","3,400","3,428","3,462","3,340","-0,93%"
"11.04.2023","3,432","3,419","3,456","3,381","0,49%"
"10.04.2023","3,415","3,372","3,436","3,350","0,05%"
"07.04.2023","3,413","3,305","3,415","3,298","3,33%"
"06.04.2023","3,303","3,307","3,313","3,253","-0,17%"
"05.04.2023","3,309","3,348","3,372","3,266","-0,89%"
"04.04.2023","3,339","3,417","3,485","3,335","-2,24%"
"03.04.2023","3,415","3,524","3,545","3,400","-1,68%"
"31.03.2023","3,473","3,553","3,585","3,470","-2,08%"
"30.03.2023","3,547","3,570","3,596","3,534","-0,53%"
"29.03.2023","3,566","3,573","3,611","3,534","-0,16%"
"28.03.2023","3,572","3,530","3,577","3,498","0,91%"
"27.03.2023","3,539","3,400","3,545","3,367","4,95%"
"24.03.2023","3,372","3,417","3,425","3,285","-1,20%"
"23.03.2023","3,414","3,451","3,520","3,374","-1,08%"
"22.03.2023","3,451","3,606","3,644","3,430","-4,34%"
"21.03.2023","3,608","3,496","3,613","3,440","3,58%"
"20.03.2023","3,483","3,468","3,519","3,291","1,31%"
"17.03.2023","3,438","3,568","3,598","3,382","-3,94%"
"16.03.2023","3,579","3,451","3,586","3,369","3,37%"
"15.03.2023","3,462","3,697","3,710","3,388","-6,05%"
"14.03.2023","3,685","3,562","3,697","3,464","3,96%"
"13.03.2023","3,545","3,750","3,762","3,418","-4,31%"
"10.03.2023","3,704","3,901","3,901","3,674","-5,19%"
"09.03.2023","3,907","3,980","4,019","3,894","-2,06%"
"08.03.2023","3,989","3,981","4,011","3,899","0,50%"
"07.03.2023","3,970","3,967","4,007","3,919","0,15%"
"06.03.2023","3,964","3,965","3,989","3,897","0,15%"
"03.03.2023","3,958","4,068","4,069","3,954","-2,56%"
"02.03.2023","4,062","3,994","4,091","3,990","1,68%"
"01.03.2023","3,994","3,938","4,010","3,914","1,70%"
"28.02.2023","3,928","3,924","3,983","3,899","0,15%"
"27.02.2023","3,922","3,934","3,978","3,897","-0,64%"
"24.02.2023","3,947","3,885","3,978","3,854","1,46%"
"23.02.2023","3,890","3,921","3,978","3,863","-0,94%"
"22.02.2023","3,927","3,957","3,968","3,890","-0,69%"
"21.02.2023","3,954","3,851","3,962","3,840","2,68%"
"20.02.2023","3,851","3,849","3,851","3,849","0,91%"
"17.02.2023","3,817","3,863","3,929","3,813","-1,19%"
"16.02.2023","3,863","3,818","3,872","3,769","1,58%"
"15.02.2023","3,803","3,745","3,822","3,726","1,33%"
"14.02.2023","3,753","3,711","3,799","3,622","1,34%"
"13.02.2023","3,704","3,743","3,755","3,702","-1,07%"
"10.02.2023","3,743","3,675","3,751","3,658","2,18%"
"09.02.2023","3,664","3,601","3,690","3,575","1,33%"
"08.02.2023","3,615","3,672","3,692","3,614","-1,73%"
"07.02.2023","3,679","3,644","3,690","3,597","0,98%"
"06.02.2023","3,644","3,562","3,655","3,536","3,54%"
"03.02.2023","3,519","3,391","3,556","3,365","3,45%"
"02.02.2023","3,402","3,422","3,426","3,333","-0,43%"
"01.02.2023","3,417","3,516","3,520","3,387","-2,67%"