fecha,bid,ask
2023-01-02, $ 342.00 , $ 346.00
2023-01-03, $ 350.00 , $ 354.00
2023-01-04, $ 350.00 , $ 354.00
2023-01-05, $ 348.00 , $ 353.00
2023-01-06, $ 350.00 , $ 354.00
2023-01-09, $ 351.00 , $ 355.00
2023-01-10, $ 353.00 , $ 357.00
2023-01-11, $ 355.00 , $ 359.00
2023-01-12, $ 357.00 , $ 361.00
2023-01-13, $ 365.00 , $ 369.00
2023-01-16, $ 366.00 , $ 370.00
2023-01-17, $ 374.00 , $ 378.00
2023-01-18, $ 373.00 , $ 377.00
2023-01-19, $ 370.00 , $ 374.00
2023-01-20, $ 372.00 , $ 376.00
2023-01-23, $ 372.00 , $ 376.00
2023-01-24, $ 377.00 , $ 381.00
2023-01-25, $ 379.00 , $ 383.00
2023-01-26, $ 381.00 , $ 385.00
2023-01-27, $ 382.00 , $ 386.00
2023-01-30, $ 379.00 , $ 383.00
2023-01-31, $ 377.00 , $ 381.00
2023-02-01, $ 373.00 , $ 377.00
2023-02-02, $ 374.00 , $ 378.00
2023-02-03, $ 375.00 , $ 379.00
2023-02-06, $ 369.00 , $ 373.00
2023-02-07, $ 373.00 , $ 377.00
2023-02-08, $ 376.00 , $ 381.00
2023-02-09, $ 375.00 , $ 379.00
2023-02-10, $ 373.00 , $ 377.00
2023-02-13, $ 375.00 , $ 379.00
2023-02-14, $ 375.00 , $ 379.00
2023-02-15, $ 374.00 , $ 378.00
2023-02-16, $ 373.00 , $ 377.00
2023-02-17, $ 373.00 , $ 377.00
2023-02-20, $ 373.00 , $ 377.00
2023-02-21, $ 373.00 , $ 377.00
2023-02-22, $ 373.00 , $ 377.00
2023-02-23, $ 375.00 , $ 379.00
2023-02-24, $ 375.00 , $ 379.00
2023-02-27, $ 373.00 , $ 377.00
2023-02-28, $ 371.00 , $ 375.00
2023-03-01, $ 371.00 , $ 375.00
2023-03-02, $ 373.00 , $ 377.00
2023-03-03, $ 371.00 , $ 375.00
2023-03-06, $ 368.00 , $ 372.00
2023-03-07, $ 367.00 , $ 371.00
2023-03-08, $ 373.00 , $ 378.00
2023-03-09, $ 369.00 , $ 373.00
2023-03-10, $ 369.00 , $ 373.00
2023-03-13, $ 373.00 , $ 377.00
2023-03-14, $ 373.00 , $ 377.00
2023-03-15, $ 375.00 , $ 379.00
2023-03-16, $ 379.00 , $ 383.00
2023-03-17, $ 379.00 , $ 383.00
2023-03-20, $ 382.00 , $ 386.00
2023-03-21, $ 390.00 , $ 394.00
2023-03-22, $ 387.00 , $ 391.00
2023-03-23, $ 385.00 , $ 389.00
2023-03-24, $ 385.00 , $ 389.00
2023-03-27, $ 386.00 , $ 390.00
2023-03-28, $ 393.00 , $ 397.00
2023-03-29, $ 389.00 , $ 393.00
2023-03-30, $ 389.00 , $ 393.00
2023-03-31, $ 391.00 , $ 395.00
2023-04-03, $ 388.00 , $ 392.00
2023-04-04, $ 388.00 , $ 392.00
2023-04-05, $ 388.00 , $ 392.00
2023-04-06, $ 388.00 , $ 392.00
2023-04-10, $ 387.00 , $ 391.00
2023-04-11, $ 390.00 , $ 394.00
2023-04-12, $ 394.00 , $ 398.00
2023-04-13, $ 396.00 , $ 400.00
2023-04-14, $ 396.00 , $ 400.00
2023-04-17, $ 404.00 , $ 408.00
2023-04-18, $ 414.00 , $ 418.00
2023-04-19, $ 419.00 , $ 423.00
2023-04-20, $ 427.00 , $ 432.00
2023-04-21, $ 437.00 , $ 442.00
2023-04-24, $ 457.00 , $ 462.00
2023-04-25, $ 490.00 , $ 495.00
2023-04-26, $ 469.00 , $ 474.00
2023-04-27, $ 462.00 , $ 467.00
2023-04-28, $ 464.00 , $ 469.00
2023-05-02, $ 469.00 , $ 474.00
2023-05-03, $ 464.00 , $ 469.00
2023-05-04, $ 463.00 , $ 468.00
2023-05-05, $ 464.00 , $ 469.00
2023-05-08, $ 465.00 , $ 470.00
2023-05-09, $ 466.00 , $ 471.00
2023-05-10, $ 467.00 , $ 472.00
2023-05-11, $ 470.00 , $ 475.00
2023-05-12, $ 469.00 , $ 474.00
2023-05-15, $ 478.00 , $ 483.00
2023-05-16, $ 483.00 , $ 488.00
2023-05-17, $ 482.00 , $ 487.00
2023-05-18, $ 483.00 , $ 488.00
2023-05-19, $ 481.00 , $ 486.00
2023-05-22, $ 485.00 , $ 490.00
2023-05-23, $ 487.00 , $ 492.00
2023-05-24, $ 488.00 , $ 493.00
2023-05-25, $ 488.00 , $ 493.00
2023-05-26, $ 488.00 , $ 493.00
2023-05-29, $ 487.00 , $ 492.00
2023-05-30, $ 488.00 , $ 493.00
2023-05-31, $ 485.00 , $ 490.00
2023-06-01, $ 485.00 , $ 490.00
2023-06-02, $ 485.00 , $ 490.00
2023-06-05, $ 482.00 , $ 486.00
2023-06-06, $ 480.00 , $ 485.00
2023-06-07, $ 479.00 , $ 484.00
2023-06-08, $ 479.00 , $ 484.00
2023-06-09, $ 478.00 , $ 483.00
2023-06-12, $ 479.00 , $ 484.00
2023-06-13, $ 484.00 , $ 489.00
2023-06-14, $ 491.00 , $ 496.00
2023-06-15, $ 482.00 , $ 487.00
2023-06-16, $ 487.00 , $ 492.00
2023-06-19, $ 487.00 , $ 492.00
2023-06-20, $ 487.00 , $ 492.00
2023-06-21, $ 487.00 , $ 492.00
2023-06-22, $ 488.00 , $ 493.00
2023-06-23, $ 490.00 , $ 495.00
2023-06-26, $ 488.00 , $ 493.00
2023-06-27, $ 491.00 , $ 496.00
2023-06-28, $ 491.00 , $ 496.00
2023-06-29, $ 489.00 , $ 494.00
2023-06-30, $ 489.00 , $ 494.00
2023-07-03, $ 490.00 , $ 495.00
2023-07-04, $ 488.00 , $ 493.00
2023-07-05, $ 487.00 , $ 492.00
2023-07-06, $ 486.00 , $ 491.00
2023-07-07, $ 487.00 , $ 492.00
2023-07-10, $ 490.00 , $ 495.00
2023-07-11, $ 493.00 , $ 498.00
2023-07-12, $ 498.00 , $ 503.00
2023-07-13, $ 507.00 , $ 512.00
2023-07-14, $ 517.00 , $ 522.00
2023-07-17, $ 515.00 , $ 520.00
2023-07-18, $ 515.00 , $ 520.00
2023-07-19, $ 520.00 , $ 525.00
2023-07-20, $ 520.00 , $ 525.00
2023-07-21, $ 523.00 , $ 528.00
2023-07-24, $ 547.00 , $ 552.00
2023-07-25, $ 531.00 , $ 536.00
2023-07-26, $ 541.00 , $ 546.00
2023-07-27, $ 548.00 , $ 553.00
2023-07-28, $ 546.00 , $ 551.00
2023-07-31, $ 545.00 , $ 550.00
2023-08-01, $ 555.00 , $ 560.00
2023-08-02, $ 555.00 , $ 560.00
2023-08-03, $ 565.00 , $ 570.00
2023-08-04, $ 569.00 , $ 574.00
2023-08-07, $ 591.00 , $ 596.00
2023-08-08, $ 593.00 , $ 598.00
2023-08-09, $ 595.00 , $ 600.00
2023-08-10, $ 597.00 , $ 602.00
2023-08-11, $ 595.00 , $ 605.00
2023-08-14, $ 665.00 , $ 685.00
2023-08-15, $ 720.00 , $ 730.00
2023-08-16, $ 770.00 , $ 780.00
2023-08-17, $ 750.00 , $ 760.00
2023-08-18, $ 710.00 , $ 720.00
